API,sanitized,total,san/total,2*san/total,san^2/total,san^3/total
admin url[FP],95,127,0.7,1.49,71,6750
mybb->get_input[TP],111,206,0.5,1.07,59.8,6638
wp_unslash[FP],97,239,0.4,0.8,39.3,3818
table->construct_cell[TP],85,288,0.29,0.59,25,2132
check_print_test_row[TP],37,46,0.8,1.6,29.7,1101.15
gpc_get_string[TP],32,66,0.48,0.96,30.72,983.04
wp_safe_redirect[TP],58,212,0.2,0.5,15.86,920.33
 template->assign[TP],38,99,0.38,0.76,14.58,554
config_get_global[FP],39,149,0.26,0.52,10.14,395.46
page->add_breadcrumb_item[TP],28,59,0.47,0.94,13.2,372.07
get_site_option[FP],17,20,0.85,1.7,14.45,245.65
wp_get_referer[TP],15,16,0.9,1.8,14,210
parser->parse_badwords[FP],58,977,0.05,0.11,3.44,199
wp_get_update_php_url[TP],20,58,0.34,0.68,6.89,137.93
wp_login_url[TP],13,18,0.72,1.4,9.3,122
check_print_info_row[TP],11,12,0.9,1.8,10.08,110.91
link_header[TP],22,96,0.22,0.45,5.04,110
network_admin_url[FP],15,41,0.36,0.73,5.4,82.3
wp_die[TP],14,34,0.4,0.8,5.76,80
get_bloginfo[TP],20,101,0.19,0.39,3.9,79.2
popup->add_item[TP],20,109,0.18,0.36,3.66,73.39
_n_noop[FP],10,15,0.6,1.3,6.6,66.6
template->assign_vars[TP],16,62,0.2,0.516,4.12,66
form_container->output_cell[TP],13,40,0.325,0.65,4.225,54.925
template->assign_block_vars[TP],12,33,0.36,0.72,4.36,52.36
sql_free_result[FP],7,7,1,2,7,49
gpc_get[TP],14,57,0.24,0.48,3.36,48.04
 add_breadcrumb[TP],15,73,0.21,0.41,3.08,46.23
xoopsTpl->assign[TP],10,23,0.4,0.8,4.3,43.4
icmsTpl->assign[TP],10,23,0.4,0.8,4.3,43.3
page->output_alert[TP],6,6,1,2,6,36
wp_send_json_error[TP],5,15,0.53,1.06,4.26,34.13
get_comments_link[TP],8,16,0.5,1,4,32
get_nav_menu_locations,13,72,0.18,0.36,2.34,30.51
print_test_results[TP],8,17,0.47,0.94,3.76,30.11
log_admin_action[FP],8,17,0.4,0.9,3.76,30.11
wp_create_nonce[FP],9,25,0.36,0.72,3.24,29.16
 admin_redirect[TP],7,18,0.4,0.8,3.5,28.4
 themail->send_mail[TP],8,18,0.4,0.7,3.5,28.4
manager->get_panel[TP],7,12,0.58,1.16,4.08,28
config_get,16,326,0.049,0.098,1.568,25.088
get_theme_feature_list[TP],7,14,0.5,1,3.5,24.5
this->db_error[TP],8,21,0.38,0.76,3.04,24.3
get_site_icon_url[TP],6,9,0.6,1.3,4,24
this->bail[TP],5,6,0.83,1.6,4.16,20.8
t_row2->add_item,7,17,0.4,0.8,2.88,20.17
get_permalink,8,26,0.3,0.6,2.4,19
get_self_link[TP],5,7,0.7,1.4,3.5,17.8
get_user_locale,9,45,0.2,0.4,1.8,16.2
utf8-encode[FP],4,4,1,2,4,16
db->simple_select,9,56,0.16,0.32,1.45,13
archive_header[TP],4,5,0.8,1.6,3.2,12.8
fetch_feed,9,62,0.14,0.29,1.3,11.7
request->variable[TP],3,3,1,2,3,9
lang_parse[FP],3,3,1,2,3,9
wp_rewrite->iis7_url_rewrite_rules[TP],2,2,1,2,3,9
edituser->setVar[FP],3,3,1,2,3,9
show_message[TP],3,3,1,2,3,9
liste->add_liste[FP],3,3,1,2,3,9
gec_get_int,10,165,0.06,0.12,0.6,6
get_header_image,3,5,0.6,1.2,1.8,5.4
this->set_error,3,5,0.6,1.2,1.8,5.4
check_print_test_warn_row,6,40,0.15,0.3,0.9,5.4
get_stylesheet,5,26,0.19,0.38,0.96,4.8
form_security_param,3,6,0.5,1,1.5,4.5
 user->del,3,6,0.5,1,1.5,4.5
manager->get_setting,2,2,1,2,2,4
wp_lostpassword_url,2,2,1,2,2,4
cache->update,2,2,1,2,2,4
 user->login,2,2,1,2,2,4
commentobj->addComment,2,2,1,2,2,4
fileObj->deleteFolder,2,2,1,2,2,4
messageObj->assignToUser,2,2,1,2,2,4
t_section_last->add_item,4,17,0.23,0.47,0.94,3.76
bug_get_field,3,8,0.375,0.75,1.125,3.375
this->value,3,8,0.37,0.75,1.12,3.37
get_taxonomies,3,9,0.3,0.6,1,3
htmlspecialchars_uni,50,42937,0.001,0.002,0.05,2.91
get_feed_link,2,3,0.6,1.3,1.3,2.6
 pdf->writeHTML,2,3,0.6,1.3,1.3,2.6
 pdf->Output,2,3,0.6,1.3,1.3,2.6
task->deassign,2,3,0.6,1.3,1.3,2.6
user->admin_editpass,2,3,0.6,1.3,1.3,2.6
 log_admin_action,2,4,0.5,1,1,2
get_post_types,7,179,0.03,0.07,0.27,1.9
fileObj->edit,3,18,0.16,0.33,0.5,1.5
 user->edit,3,18,0.16,0.33,0.5,1.5
current_user_get_field,2,6,0.33,0.66,0.66,1.33
get_current_blog_id,2,6,0.33,0.66,0.66,1.33
 messageObj->attachFile,2,6,0.33,0.66,0.66,1.33
get_comment_link,2,7,0.28,0.57,0.57,1.14
file_get_field,1,1,1,2,1,1
crypto_generate_random_string,1,2,0.5,2,1,1
prepare_version_string,1,1,1,2,1,1
phpbb_path_helper->update_web_root_path,1,1,1,2,1,1
phpbb_path_helper->get_adm_relative_path,1,1,1,2,1,1
get_post_type,1,1,1,2,1,1
var_export,1,1,1,1,1,1
file_get_display_name,1,1,1,1,1,1
set_url_scheme,2,9,0.2,0.4,0.4,0.8
string_sanitize_url,3,13,0.23,0.46,0.69,0.76
 mylog->add,2,11,0.18,0.36,0.36,0.72
 task->assign,3,38,0.07,0.15,0.23,0.71
milestone->assign,3,38,0.07,0.15,0.23,0.71
sanitize_title,2,13,0.15,0.3,0.3,0.6
user_admin_url,1,2,0.5,1,0.5,0.5
milestone->open,1,2,0.5,1,0.5,0.5
project->close,1,2,0.5,1,0.5,0.5
milestone->close,1,2,0.5,1,0.5,0.5
writer->writeElement,1,2,0.5,1,0.5,0.5
project->open,1,2,0.5,1,0.5,0.5
t_row_extra->add_item,2,17,0.11,0.23,0.23,0.47
plugin_page,1,5,0.4,0.8,0.4,0.4
task->edit,2,18,0.1,0.2,0.2,0.4
milestone->deassign,1,3,0.3,0.66,0.66,0.33
string_shorten,1,3,0.33,0.66,0.33,0.33
get_rest_url,1,3,0.3,0.6,0.3,0.3
helper_get_current_project,2,30,0.66,0.13,0.13,0.26
random_str,1,4,0.25,0.5,0.25,0.25
form_container->construct_row,1,4,0.25,0.5,0.25,0.25
page->output_nav_tabs,1,4,0.25,0.5,0.25,0.25
page->output_footer,1,4,0.25,0.5,0.25,0.25
page->output_inline_message,1,4,0.25,0.5,0.25,0.25
plugins->run_hooks,1,9,0.11,0.22,0.11,0.22
rolesobj->assign,2,38,0.05,0.1,0.1,0.21
parser->parse_message,1,5,0.2,0.4,0.2,0.2
wp_trim_words,1,5,0.2,0.4,0.2,0.2
validate_active_plugins,1,5,0.2,0.4,0.2,0.2
form->output_submit_wrapper,1,5,0.2,0.4,0.2,0.2
userhandler->set_data,1,5,0.2,0.4,0.2,0.2
project->del,1,6,0.16,0.33,0.16,0.16
 roleobj->del,1,6,0.16,0.33,0.16,0.16
milestone->del,1,6,0.16,0.33,0.16,0.16
customer->del,1,6,0.16,0.33,0.16,0.16
get_background_image,1,7,0.14,0.28,0.14,0.14
t_command->execute,1,7,0.14,0.28,0.14,0.14
confirm_box,1,7,0.14,0.28,0.14,0.14
bug_get,2,60,0.03,0.06,0.06,0.13
this->get_instance_schema,1,8,0.125,0.25,0.125,0.125
auth_get_current_user_id,2,84,0.023,0.046,0.046,0.092
this->getVar,3,277,0.01,0.02,0.03,0.09
icms_core_DataFilter::icms_substr,1,12,0.08,0.16,0.08,0.08
icms::handler,3,336,0.008,0.017,0.026,0.08
maybe_unserialize,1,13,0.07,0.15,0.07,0.07
is_subdomain_install,1,14,0.07,0.14,0.07,0.07
t_section_search->add_item,1,17,0.05,0.11,0.05,0.05
customer->edit,1,18,0.05,0.11,0.05,0.05
roleobj->assign,1,38,0.026,0.052,0.026,0.026
get_comment,1,42,0.02,0.04,0.02,0.02
filter_get_bug_rows,1,130,0.007,0.15,0.007,0.007
string_display_line,1,180,0.005,0.01,0.005,0.005
icms_core_DataFilter::stripSlashesGPC,1,454,0.002,0.004,0.002,0.002
lang->sprintf,4,176495,0,0,0,0.001
my_strtolower,1,1494,0.0006,0.0013,0.0006,0.0006
